Namespace(batch_size=32, dataset='knu', dropout=0.5, emb_dims=1024, epochs=250, eval=False, exp_name='KNU_cls_1024', k=20, lr=0.001, model='dgcnn', model_path='', momentum=0.9, no_cuda=False, num_points=1024, output_channels=18, scheduler='cos', seed=1, test_batch_size=16, use_sgd=True)
Using GPU : 0 from 1 devices
Train 42, loss: 1.367834, train acc: 0.880048, train avg acc: 0.650606
Test 42, loss: 1.567852, test acc: 0.770544, test avg acc: 0.594753
Train 43, loss: 1.346154, train acc: 0.900481, train avg acc: 0.694351
Test 43, loss: 1.715013, test acc: 0.678762, test avg acc: 0.516602
Train 44, loss: 1.346940, train acc: 0.893750, train avg acc: 0.696300
Test 44, loss: 1.570429, test acc: 0.756670, test avg acc: 0.556219
Train 45, loss: 1.342647, train acc: 0.899519, train avg acc: 0.692595
Test 45, loss: 1.542197, test acc: 0.774813, test avg acc: 0.646404
Train 46, loss: 1.321896, train acc: 0.913221, train avg acc: 0.719858
Test 46, loss: 1.587187, test acc: 0.779082, test avg acc: 0.655216
Train 47, loss: 1.324203, train acc: 0.916827, train avg acc: 0.765442
Test 47, loss: 1.664590, test acc: 0.752401, test avg acc: 0.638645
Train 48, loss: 1.333505, train acc: 0.904567, train avg acc: 0.703796
Test 48, loss: 1.573243, test acc: 0.788687, test avg acc: 0.652837
Train 49, loss: 1.316054, train acc: 0.916587, train avg acc: 0.738647
Test 49, loss: 1.731075, test acc: 0.718250, test avg acc: 0.593759
Train 50, loss: 1.310313, train acc: 0.914663, train avg acc: 0.752944
Test 50, loss: 1.635145, test acc: 0.770544, test avg acc: 0.544900
Train 51, loss: 1.309411, train acc: 0.919231, train avg acc: 0.740360
Test 51, loss: 1.612820, test acc: 0.757737, test avg acc: 0.700932
Train 52, loss: 1.307787, train acc: 0.917548, train avg acc: 0.757595
Test 52, loss: 1.537367, test acc: 0.792956, test avg acc: 0.639245
Train 53, loss: 1.304383, train acc: 0.924279, train avg acc: 0.781802
Test 53, loss: 1.534932, test acc: 0.805763, test avg acc: 0.675760
Train 54, loss: 1.313786, train acc: 0.912500, train avg acc: 0.768749
Test 54, loss: 1.603155, test acc: 0.778015, test avg acc: 0.595878
Train 55, loss: 1.302050, train acc: 0.922596, train avg acc: 0.767194
Test 55, loss: 1.648780, test acc: 0.791889, test avg acc: 0.709895
Train 56, loss: 1.290390, train acc: 0.935817, train avg acc: 0.821170
Test 56, loss: 1.519542, test acc: 0.797225, test avg acc: 0.648682
